filename,detection_window_start_time,species,detector_score,relative_sound_level,distance,distance_CI975,distance_CI025
01_s_EDR-04-0000_20160713_220000,0.0,CONI,-4.502018,-23.929197,112.1,116.3,108.0
01_s_EDR-04-0000_20160713_220000,0.0686927083333333,CONI,-6.255891,-30.435604,174.9,179.3,170.4
01_s_EDR-04-0000_20160713_220000,0.1373854166666666,CONI,-7.146722,-25.264433,124.1,128.2,120.0
01_s_EDR-04-0000_20160713_220000,0.206078125,CONI,-9.289967,-25.387321,125.0,129.0,120.9
01_s_EDR-04-0000_20160713_220000,0.2747708333333333,CONI,-11.224583,12.015484,2.9,4.3,1.4
01_s_EDR-04-0000_20160713_220000,0.3434635416666667,CONI,-3.4684334,19.181107,1.1,1.8,0.4
01_s_EDR-04-0000_20160713_220000,0.41215625,CONI,-2.1602638,19.507158,1.0,1.7,0.3
01_s_EDR-04-0000_20160713_220000,0.4808489583333333,CONI,-9.533686,22.624758,0.7,1.1,0.2
01_s_EDR-04-0000_20160713_220000,0.5495416666666667,CONI,-10.120166,2.8808389,8.8,11.6,6.0
01_s_EDR-04-0000_20160713_220000,0.618234375,CONI,-9.248262,-26.627563,136.0,140.0,131.9
01_s_EDR-04-0000_20160713_220000,0.6869270833333334,CONI,-8.241336,-27.43725,143.6,147.7,139.5
01_s_EDR-04-0000_20160713_220000,0.7556197916666667,CONI,-6.6692944,-25.427256,125.0,129.0,120.9
01_s_EDR-04-0000_20160713_220000,0.8243125,CONI,-4.5917645,-24.31826,115.4,119.6,111.3
01_s_EDR-04-0030_20160713_214400,0.0,CONI,-9.943067,-31.817255,190.8,195.5,186.0
01_s_EDR-04-0030_20160713_214400,0.0686927083333333,CONI,-13.521494,-47.39506,406.8,423.2,390.5
01_s_EDR-04-0030_20160713_214400,0.1373854166666666,CONI,-14.748277,-47.202496,403.9,419.7,388.1
01_s_EDR-04-0030_20160713_214400,0.206078125,CONI,-10.916101,-45.220066,374.3,385.7,362.9
01_s_EDR-04-0030_20160713_214400,0.2747708333333333,CONI,-4.9746437,-25.316124,124.1,128.2,120.0
01_s_EDR-04-0030_20160713_214400,0.3434635416666667,CONI,18.353703,-7.5681877,27.3,31.9,22.8
01_s_EDR-04-0030_20160713_214400,0.41215625,CONI,11.066317,-8.153282,29.0,33.6,24.4
01_s_EDR-04-0030_20160713_214400,0.4808489583333333,CONI,-5.1513495,-3.1035779,17.2,21.1,13.3
01_s_EDR-04-0030_20160713_214400,0.5495416666666667,CONI,-9.765777,-29.899538,169.4,173.8,165.0
01_s_EDR-04-0030_20160713_214400,0.618234375,CONI,-12.711008,-37.972317,270.0,275.9,264.2
01_s_EDR-04-0030_20160713_214400,0.6869270833333334,CONI,-13.816501,-41.84468,324.1,331.3,316.9
01_s_EDR-04-0030_20160713_214400,0.7556197916666667,CONI,-10.793543,-43.92338,355.0,364.4,345.7
01_s_EDR-04-0030_20160713_214400,0.8243125,CONI,-7.646492,-29.493233,165.1,169.4,160.8
01_s_EDR-04-0060_20160713_214400,0.0,CONI,-10.151169,-46.066643,387.7,400.8,374.5
01_s_EDR-04-0060_20160713_214400,0.0686927083333333,CONI,-13.482161,-49.73835,440.2,463.9,416.5
01_s_EDR-04-0060_20160713_214400,0.1373854166666666,CONI,-14.571705,-48.15441,418.5,437.2,399.9
01_s_EDR-04-0060_20160713_214400,0.206078125,CONI,-10.919121,-48.594193,424.4,444.3,404.5
01_s_EDR-04-0060_20160713_214400,0.2747708333333333,CONI,-5.935197,-31.17517,183.9,188.5,179.2
01_s_EDR-04-0060_20160713_214400,0.3434635416666667,CONI,11.452709,-18.137081,71.2,76.0,66.5
01_s_EDR-04-0060_20160713_214400,0.41215625,CONI,6.7207713,-18.128828,71.2,76.0,66.5
01_s_EDR-04-0060_20160713_214400,0.4808489583333333,CONI,-7.1047897,-11.619425,40.2,45.1,35.3
01_s_EDR-04-0060_20160713_214400,0.5495416666666667,CONI,-10.916821,-38.08584,271.4,277.3,265.6
01_s_EDR-04-0060_20160713_214400,0.618234375,CONI,-13.733089,-43.662216,352.1,361.1,343.0
01_s_EDR-04-0060_20160713_214400,0.6869270833333334,CONI,-14.358461,-44.26163,361.0,370.9,351.1
01_s_EDR-04-0060_20160713_214400,0.7556197916666667,CONI,-11.202613,-48.55522,424.4,444.3,404.5
01_s_EDR-04-0060_20160713_214400,0.8243125,CONI,-7.818478,-33.777176,214.8,219.9,209.7
01_s_EDR-04-0090_20160713_214400,0.0,CONI,-10.154253,-31.062607,182.7,187.3,178.1
01_s_EDR-04-0090_20160713_214400,0.0686927083333333,CONI,-13.880193,-50.14546,445.9,471.1,420.7
01_s_EDR-04-0090_20160713_214400,0.1373854166666666,CONI,-14.475639,-47.068367,402.4,418.0,386.8
01_s_EDR-04-0090_20160713_214400,0.206078125,CONI,-10.822925,-50.485935,451.6,478.3,424.8
01_s_EDR-04-0090_20160713_214400,0.2747708333333333,CONI,-7.832658,-31.290834,185.0,189.6,180.4
01_s_EDR-04-0090_20160713_214400,0.3434635416666667,CONI,5.2898984,-26.70637,136.9,141.0,132.8
01_s_EDR-04-0090_20160713_214400,0.41215625,CONI,-2.3229504,-26.645658,136.0,140.0,131.9
01_s_EDR-04-0090_20160713_214400,0.4808489583333333,CONI,-12.034501,-23.5314,108.8,113.0,104.7
01_s_EDR-04-0090_20160713_214400,0.5495416666666667,CONI,-14.354866,-44.50074,363.9,374.1,353.7
01_s_EDR-04-0090_20160713_214400,0.618234375,CONI,-15.198555,-46.00773,386.2,399.2,373.2
01_s_EDR-04-0090_20160713_214400,0.6869270833333334,CONI,-14.897494,-46.073303,387.7,400.8,374.5
01_s_EDR-04-0090_20160713_214400,0.7556197916666667,CONI,-11.643476,-45.790382,383.2,395.8,370.7
01_s_EDR-04-0090_20160713_214400,0.8243125,CONI,-7.944245,-31.458755,187.3,192.0,182.6
01_s_EDR-04-0120_20160713_214400,0.0,CONI,-10.346493,-36.41483,248.3,253.9,242.7
01_s_EDR-04-0120_20160713_214400,0.0686927083333333,CONI,-14.448469,-51.33123,462.7,492.8,432.7
01_s_EDR-04-0120_20160713_214400,0.1373854166666666,CONI,-15.619234,-51.695892,468.2,500.1,436.4
01_s_EDR-04-0120_20160713_214400,0.206078125,CONI,-12.999699,-51.97593,472.3,505.5,439.1
01_s_EDR-04-0120_20160713_214400,0.2747708333333333,CONI,-9.6039095,-49.503403,437.4,460.3,414.4
01_s_EDR-04-0120_20160713_214400,0.3434635416666667,CONI,2.0523334,-24.083502,113.8,117.9,109.6
01_s_EDR-04-0120_20160713_214400,0.41215625,CONI,2.8855572,-25.87702,129.5,133.5,125.4
01_s_EDR-04-0120_20160713_214400,0.4808489583333333,CONI,-10.722073,-18.855038,76.1,80.8,71.4
01_s_EDR-04-0120_20160713_214400,0.5495416666666667,CONI,-13.62491,-22.902489,104.1,108.3,99.8
01_s_EDR-04-0120_20160713_214400,0.618234375,CONI,-15.610281,-48.567818,424.4,444.3,404.5
01_s_EDR-04-0120_20160713_214400,0.6869270833333334,CONI,-15.456516,-50.14042,445.9,471.1,420.7
01_s_EDR-04-0120_20160713_214400,0.7556197916666667,CONI,-11.803201,-50.00065,444.5,469.3,419.7
01_s_EDR-04-0120_20160713_214400,0.8243125,CONI,-8.366143,-29.75136,168.3,172.7,164.0
01_s_EDR-04-0150_20160713_214400,0.0,CONI,-10.19054,-32.042805,193.1,197.9,188.3
01_s_EDR-04-0150_20160713_214400,0.0686927083333333,CONI,-13.6021595,-51.533627,465.5,496.4,434.5
01_s_EDR-04-0150_20160713_214400,0.1373854166666666,CONI,-14.497637,-51.02142,458.6,487.3,429.8
